Scenario,Algorithm,Uncapped,190kW,120kW
Balanced,AMOSA,0.030455,0.073683,0.374628
Balanced,GA_Energy_Dominance,0.125517,0.126141,0.131683
Balanced,GA_WaitingTime_Dominance,0.010835,0.144451,0.424028
Balanced,NSGA-II,0.022411,0.097831,0.202937
Balanced,SA_Energy_Dominance,0.116436,0.116623,0.10377
Balanced,SA_WaitingTime_Dominance,0.012825,0.101328,0.103931
Balanced,SPEA-II,0.015613,0.073671,0.120771
CPU_Stress,AMOSA,0.012746,0.009416,0.066157
CPU_Stress,GA_Energy_Dominance,0.114417,0.114417,0.118568
CPU_Stress,GA_WaitingTime_Dominance,0.017088,0.029658,0.444923
CPU_Stress,NSGA-II,0.018114,0.015655,0.117999
CPU_Stress,SA_Energy_Dominance,0.08675,0.08675,0.080985
CPU_Stress,SA_WaitingTime_Dominance,0.026552,0.087144,0.119695
CPU_Stress,SPEA-II,0.014059,0.014616,0.098697
GPU_Stress,AMOSA,0.02795,0.084108,0.412833
GPU_Stress,GA_Energy_Dominance,0.16067,0.171995,0.196226
GPU_Stress,GA_WaitingTime_Dominance,0.024273,0.300646,0.300646
GPU_Stress,NSGA-II,0.027799,0.103001,0.305488
GPU_Stress,SA_Energy_Dominance,0.077229,0.0666,0.064728
GPU_Stress,SA_WaitingTime_Dominance,0.05039,0.119254,0.119254
GPU_Stress,SPEA-II,0.020725,0.068405,0.257957
